age,gender,height_cm,weight_kg,activity_level,goal,calories_required
31,1,158,67.1,1,1,1703
45,1,187,69.5,1,1,1838
19,0,172,61.3,1,1,1593
21,0,175,86.0,1,1,1848
19,1,159,77.2,1,1,1870
48,1,177,65.3,2,2,2419
49,0,187,70.3,1,2,2126
26,1,157,75.1,3,2,2702
59,0,159,69.9,1,1,1397
48,1,163,76.8,2,1,1946
39,0,176,88.0,1,1,1785
39,0,179,82.4,3,1,2147
31,0,160,65.3,1,1,1498
48,1,167,62.8,1,1,1631
36,0,170,72.7,1,1,1609
43,0,159,71.0,2,1,1688
59,1,162,75.6,3,1,2073
40,0,180,68.0,3,2,2505
47,1,159,60.4,1,2,2062
38,1,151,55.3,2,1,1706
33,0,159,65.4,2,1,1682
43,1,187,98.4,1,1,2137
34,0,176,92.3,3,1,2253
53,0,165,64.2,3,2,2308
38,1,182,76.3,3,2,2810
25,1,151,71.9,1,1,1737
51,0,165,75.5,3,2,2431
49,0,163,83.5,2,2,2308
44,0,169,71.9,2,2,2255
53,1,186,67.1,3,2,2668
37,1,182,86.8,1,2,2520
27,1,190,70.3,2,1,2155
23,0,177,78.0,2,1,1971
38,1,157,62.5,3,1,2016
41,1,165,71.7,2,2,2443
40,0,186,65.7,3,1,2019
47,0,181,80.4,3,2,2600
57,1,167,85.3,1,1,1811
27,1,150,64.3,1,2,2145
47,1,169,81.8,2,1,2039
52,0,166,88.6,1,1,1663
27,1,160,69.2,3,1,2157
33,0,180,88.1,1,1,1841
30,0,169,75.7,1,1,1663
32,1,164,68.7,3,2,2652
45,0,155,57.9,2,2,2022
31,1,156,83.7,3,1,2257
53,0,173,75.2,3,1,1968
33,1,151,78.5,2,2,2463
25,0,150,68.9,2,1,1701
54,1,176,91.5,1,2,2445
49,0,162,75.5,1,1,1522
18,1,153,70.7,2,2,2473
29,1,182,80.6,1,1,1998
41,1,189,93.2,3,1,2508
28,1,167,65.6,1,2,2259
18,0,162,85.1,1,1,1773
30,0,151,82.6,2,1,1819
46,1,173,65.6,2,2,2407
40,0,186,83.6,3,1,2198
53,0,189,78.7,1,2,2203
48,0,173,89.0,3,1,2131
46,1,183,86.0,2,1,2173
54,0,153,62.8,3,2,2214
24,0,177,79.8,3,1,2184
20,1,163,65.8,3,2,2676
60,0,152,66.1,2,1,1511
42,1,183,69.8,3,2,2731
34,1,155,62.8,3,1,2026
33,0,165,65.7,1,2,2023
52,0,176,74.3,1,2,2083
28,1,180,89.2,1,1,2077
51,1,178,81.5,3,2,2772
58,0,190,90.8,3,1,2205
19,0,155,59.7,2,2,2170
44,0,184,81.7,2,2,2447
58,1,189,68.8,1,1,1779
41,0,165,85.2,1,1,1678
49,1,184,80.6,2,2,2611
40,1,183,67.0,1,2,2313
21,0,159,64.6,3,2,2434
25,0,168,76.0,3,1,2085
23,0,182,72.9,2,2,2451
26,0,180,77.5,2,2,2470
54,1,183,81.1,2,2,2584
56,0,154,80.4,1,2,1986
19,1,158,60.8,1,2,2200
42,0,186,84.2,2,1,1994
35,1,186,81.5,2,1,2202
58,0,182,84.7,1,1,1694
21,1,163,81.9,1,2,2432
41,0,163,65.9,3,2,2372
31,0,188,84.1,3,1,2261
19,0,151,81.4,3,2,2562
38,1,177,92.8,3,2,2944
55,0,186,91.4,1,1,1801
59,1,161,84.1,3,2,2652
47,1,169,81.2,2,2,2533
41,0,171,65.2,2,2,2215
25,0,179,90.9,1,2,2402
43,1,170,77.9,3,1,2226
30,0,164,74.0,3,2,2515
44,1,179,88.0,2,2,2678
37,1,171,62.1,1,2,2204
42,1,151,72.6,1,2,2159
25,1,171,75.1,1,2,2394
54,1,179,69.4,2,2,2442
50,0,154,78.2,2,1,1694
59,0,187,74.7,1,1,1620
37,1,166,62.1,3,1,2073
24,0,174,64.8,2,1,1815
53,0,150,59.5,3,1,1667
46,1,154,68.9,1,1,1621
24,1,172,91.2,2,2,2767
42,0,185,85.5,2,2,2501
25,1,184,89.5,2,1,2320
38,0,163,71.7,3,1,1945
58,0,169,92.8,2,1,1894
18,0,180,64.6,3,1,2081
60,0,156,79.8,1,1,1473
59,1,167,85.4,3,1,2202
29,0,169,62.7,2,2,2238
38,1,168,75.1,2,2,2511
30,1,158,72.9,3,2,2666
34,1,182,96.7,3,1,2534
39,0,184,78.7,1,1,1742
23,0,174,77.6,2,2,2448
54,0,182,78.6,3,2,2553
57,0,181,64.7,2,2,2193
35,1,184,92.8,2,2,2803
36,0,176,92.4,2,2,2544
60,0,159,60.3,1,1,1296
55,1,163,65.6,1,2,2099
50,0,176,91.4,3,2,2664
47,1,188,98.0,3,2,3020
48,1,185,76.9,3,2,2785
54,1,179,97.8,3,2,2926
51,0,188,99.0,2,2,2610
49,0,186,82.0,2,2,2437
53,0,153,68.2,1,2,1873
48,1,184,92.0,2,2,2730
54,1,159,74.7,1,1,1670
58,0,152,55.6,2,1,1416
39,1,167,62.0,2,2,2368
31,0,161,69.0,1,1,1541
50,1,162,82.5,1,1,1787
30,0,176,76.8,3,1,2118
38,1,152,74.7,3,2,2607
49,1,150,81.8,1,1,1710
34,0,172,73.5,3,1,2040
18,0,189,93.7,3,1,2428
30,0,183,66.3,2,2,2356
28,0,179,93.6,2,2,2614
59,1,165,65.3,1,2,2089
18,0,187,95.3,3,2,2931
46,1,155,63.5,2,2,2273
26,1,161,70.5,1,2,2281
48,0,158,64.4,1,2,1891
20,0,171,61.7,3,1,1985
56,1,172,90.3,2,1,2098
37,0,173,72.1,3,2,2517
43,0,179,86.7,3,1,2170
24,1,157,81.1,2,1,2072
19,1,162,81.6,2,1,2133
59,1,150,78.7,1,1,1629
49,0,170,72.0,1,1,1537
36,0,163,63.5,1,2,1973
60,0,157,59.4,3,2,2175
58,1,151,66.2,3,1,1915
25,1,190,91.8,3,2,3080
37,1,154,73.8,1,1,1715
23,0,154,68.3,3,1,1930
49,1,150,58.9,1,2,1981
59,0,167,87.1,3,1,2019
19,1,186,82.2,1,1,2089
57,0,158,83.3,1,1,1535
35,1,163,89.0,2,2,2633
34,0,175,87.7,3,1,2200
56,1,151,62.8,1,2,1991
26,0,180,81.6,3,1,2211
49,0,152,59.4,2,1,1499
39,0,188,92.9,1,1,1909
41,0,152,78.1,2,1,1726
46,0,168,80.0,2,2,2320
43,0,162,70.1,2,1,1698
55,0,172,65.6,2,1,1656
36,0,172,62.8,3,1,1923
43,0,151,58.3,1,2,1811
33,1,180,68.3,1,1,1843
46,1,186,97.0,2,1,2302
41,0,175,70.8,1,2,2096
58,0,181,69.5,2,2,2236
42,1,164,61.2,3,2,2527
24,0,168,67.9,2,1,1809
29,1,152,74.0,1,1,1745
43,1,158,75.4,3,1,2126
24,0,166,91.1,3,2,2728
38,0,165,86.6,3,2,2607
47,1,190,94.5,1,1,2097
21,0,185,96.0,3,2,2911
46,0,169,76.0,2,2,2286
35,1,160,75.0,3,2,2675
33,1,156,79.1,1,2,2301
32,1,153,59.6,1,1,1592
38,0,174,80.0,1,2,2197
48,1,154,53.9,2,1,1661
38,0,181,77.1,3,2,2612
34,1,166,69.5,1,2,2262
47,0,178,96.1,1,2,2338
43,0,185,85.4,2,1,1995
40,1,190,71.4,1,2,2401
18,0,166,69.9,3,2,2546
38,0,185,81.0,1,1,1776
51,0,163,66.2,2,2,2125
59,1,171,79.2,3,2,2665
26,0,179,98.4,1,2,2472
30,0,168,69.4,3,1,1994
35,1,169,88.5,3,2,2866
56,0,183,97.7,1,2,2340
44,0,181,89.0,2,1,2001
28,1,179,93.2,3,1,2510
30,1,172,67.5,2,1,2000
18,1,184,74.2,1,1,2002
56,1,159,68.7,2,2,2300
49,1,179,71.8,1,2,2291
54,1,152,73.5,1,1,1615
27,1,163,72.7,3,1,2210
26,0,165,75.1,1,2,2152
19,1,188,76.1,3,2,2941
59,1,176,94.8,2,1,2153
26,0,182,69.0,1,2,2197
26,1,182,94.9,1,2,2656
23,1,156,55.1,2,1,1811
33,1,161,73.8,2,1,1979
20,1,150,66.4,1,1,1701
25,0,170,84.6,3,2,2683
34,0,183,69.7,3,1,2070
44,0,167,65.4,2,1,1677
60,1,185,97.9,3,1,2435
31,1,158,71.3,2,1,1945
55,1,184,66.6,1,1,1741
20,0,186,102.0,3,2,2982
18,0,173,93.6,3,1,2327
43,0,181,91.4,3,1,2230
51,0,154,59.5,1,2,1802
51,0,182,73.5,3,1,2017
38,1,190,85.6,1,1,2053
31,0,174,69.5,1,2,2127
26,1,151,57.2,1,1,1585
44,1,153,76.7,2,2,2403
32,1,170,88.9,1,1,1991
35,1,190,101.9,3,2,3131
22,1,166,58.9,1,1,1716
33,0,187,93.9,3,1,2342
19,1,155,76.5,2,2,2538
53,1,179,72.8,2,1,1981
57,1,189,88.0,1,1,1976
40,0,184,82.3,1,2,2273
40,0,155,60.9,3,2,2277
47,0,188,75.1,2,1,1891
50,0,152,66.8,1,1,1368
50,0,150,82.4,3,1,1911
43,1,153,62.1,3,2,2462
24,0,188,76.1,3,2,2716
18,1,183,64.5,2,1,2098
30,0,171,68.7,3,2,2505
54,0,175,63.9,2,1,1662
26,1,188,87.7,2,1,2322
31,1,161,57.7,1,1,1628
19,0,157,62.9,2,2,2215
59,1,163,61.0,1,1,1533
27,0,159,82.6,2,2,2384
56,0,174,86.0,3,2,2567
55,1,177,93.4,1,1,1965
33,0,164,63.6,2,1,1696
30,0,183,94.1,1,1,1934
55,1,164,77.4,3,2,2624
41,0,186,101.9,3,2,2876
53,1,186,73.7,2,1,2034
28,0,179,89.3,3,1,2271
35,1,176,92.7,1,1,2052
27,0,187,83.3,3,2,2766
23,1,173,86.4,3,2,2930
37,1,184,74.1,3,2,2806
49,1,189,102.2,2,2,2858
55,0,159,69.8,2,2,2116
60,0,159,78.3,1,2,1976
57,1,159,71.3,1,1,1621
32,0,173,89.2,2,1,2013
28,1,166,63.3,3,1,2130
51,0,175,61.9,1,1,1457
22,0,186,74.8,3,1,2200
19,0,154,67.4,3,2,2441
32,1,170,82.4,2,2,2626
37,1,175,74.6,1,1,1854
59,0,164,76.7,3,1,1897
55,1,182,98.1,1,1,2043
28,1,169,79.8,2,1,2114
60,1,167,83.6,3,1,2179
31,1,155,58.4,2,2,2297
43,0,176,65.1,1,2,2036
39,0,163,59.3,3,2,2316
43,0,174,71.8,1,1,1590
46,1,164,79.6,2,1,1991
44,1,181,77.4,3,1,2285
31,1,182,88.1,1,1,2063
40,0,155,73.5,1,1,1503
37,1,154,65.8,1,2,2135
24,0,173,65.8,3,1,2019
53,0,160,67.3,3,2,2308
48,1,159,58.9,3,1,1942
47,1,173,81.7,3,2,2763
52,1,160,80.6,1,2,2246
47,1,155,82.3,3,1,2156
45,0,166,64.7,2,2,2159
30,0,156,67.2,1,1,1497
26,0,177,94.3,3,2,2819
23,1,158,73.1,3,1,2203
45,0,158,65.7,3,2,2319
24,0,156,82.4,2,1,1879
54,0,150,62.4,1,1,1291
57,0,175,75.4,3,1,1962
33,1,161,62.3,1,1,1664
19,1,181,78.6,3,2,2922
18,0,161,74.0,1,1,1656
37,1,160,56.4,3,2,2479
42,0,172,76.8,3,2,2533
34,0,177,79.3,3,1,2129
31,1,156,79.8,2,1,2018
39,1,189,75.7,2,1,2143
20,0,186,71.4,3,2,2676
22,0,157,77.8,3,1,2049
41,1,164,60.1,2,1,1821
38,1,169,72.8,1,1,1794
25,1,166,84.5,3,2,2857
19,0,189,72.8,1,1,1814
34,0,175,65.5,1,1,1578
34,0,166,70.3,3,1,1970
45,1,180,84.2,3,2,2842
38,1,188,69.8,1,1,1883
32,0,156,82.1,2,1,1836
48,0,187,83.3,1,2,2261
37,1,180,63.8,3,1,2178
56,1,156,65.3,2,2,2248
54,1,185,89.7,2,2,2683
21,1,163,88.6,1,1,1999
38,1,166,63.5,1,2,2182
41,0,184,88.7,2,1,2032
59,0,168,78.3,2,1,1738
25,1,165,60.8,1,2,2214
28,0,155,57.9,1,2,1907
49,1,164,78.2,3,2,2662
55,1,172,65.2,2,1,1852
59,0,190,76.3,3,1,2055
38,1,166,72.6,1,2,2273
30,0,150,70.4,3,1,1891
26,1,181,97.9,2,1,2380
20,0,185,85.5,3,2,2811
29,1,173,86.7,1,1,2003
51,1,171,76.3,3,1,2176
24,0,171,80.0,2,1,1948
42,1,160,86.4,1,1,1854
33,0,161,87.2,3,1,2113
57,0,154,54.3,1,2,1720
47,0,155,79.5,2,1,1728
46,0,160,75.7,3,1,1927
25,1,165,84.8,2,1,2154
29,0,182,78.2,2,1,1974
21,0,157,66.5,1,2,2041
53,0,176,73.9,1,2,2074
51,1,181,93.9,3,1,2415
44,0,155,70.8,3,2,2356
19,1,166,60.2,2,2,2444
46,1,173,65.1,2,2,2402
52,1,186,71.7,2,2,2519
46,0,162,57.9,2,2,2061
30,0,182,77.3,3,1,2160
56,1,184,80.9,2,1,2079
31,1,173,91.7,1,2,2543
26,1,156,80.5,2,1,2050
41,0,174,92.6,1,2,2308
51,0,190,73.4,1,1,1666
40,0,177,86.9,1,2,2275
23,0,152,54.4,3,2,2279
45,0,166,58.7,1,2,1899
51,1,160,83.0,3,2,2675
22,1,172,94.1,1,2,2606
32,1,182,80.1,3,1,2378
58,0,156,84.8,2,2,2233
31,0,189,92.0,3,2,2846
21,0,186,88.7,3,1,2344
29,1,182,98.6,1,2,2678
41,0,167,59.4,1,1,1432
24,0,157,56.5,2,2,2126
53,0,175,62.5,3,2,2353
32,0,153,69.7,3,2,2393
37,1,164,81.5,1,2,2355
19,1,168,92.0,1,2,2575
33,0,190,86.8,2,2,2590
20,0,166,74.8,2,2,2385
57,1,152,70.7,2,2,2272
53,0,165,69.6,3,2,2362
51,0,174,86.2,1,1,1694
44,0,166,85.4,3,2,2571
59,1,156,77.9,3,1,2059
29,1,188,90.6,2,1,2336
44,1,168,72.0,1,2,2250
19,1,158,56.7,2,2,2359
26,1,166,68.5,3,2,2692
59,0,186,100.2,1,2,2369
30,0,182,64.3,1,2,2130
28,1,150,71.8,1,1,1715
31,0,151,62.8,2,1,1616
32,0,189,69.5,2,1,1916
47,0,163,87.8,3,2,2561
22,0,159,86.2,3,2,2645
50,0,162,87.8,1,2,2140
31,1,167,73.9,2,1,2027
22,0,188,91.6,3,2,2881
23,1,155,73.6,3,2,2689
41,0,165,71.3,3,2,2439
44,1,154,80.4,1,2,2246
42,0,158,64.2,2,2,2119
24,0,173,67.0,1,1,1631
31,0,154,55.6,3,2,2263
21,1,171,79.0,3,1,2353
60,0,166,85.1,2,2,2288
59,0,154,71.9,2,1,1586
19,1,188,93.3,3,1,2613
53,1,190,77.6,3,1,2298
40,0,184,96.8,1,2,2418
35,0,190,78.7,3,2,2699
25,1,173,75.8,1,1,1914
60,1,190,90.8,1,2,2495
45,0,159,64.3,1,2,1911
34,1,169,88.0,2,2,2666
40,0,187,86.9,1,2,2337
27,1,150,57.6,3,1,1978
32,1,174,72.2,2,2,2549
57,0,163,83.2,3,1,1965
48,1,183,72.4,2,2,2527
25,1,186,78.8,1,1,2025
29,0,156,74.1,1,2,2071
43,0,189,88.4,2,2,2550
19,1,154,67.6,1,2,2243
27,0,164,81.3,2,2,2403
37,1,151,64.8,3,2,2506
36,0,171,90.0,2,1,1988
31,0,185,91.8,3,1,2319
32,1,176,64.9,1,2,2289
19,0,173,93.3,2,2,2619
18,1,153,67.9,3,1,2145
30,0,181,69.3,3,2,2574
47,1,185,80.4,1,1,1925
46,0,162,80.7,1,1,1589
28,0,161,58.6,3,2,2352
32,1,172,84.6,2,2,2661
44,0,164,68.1,3,1,1886
26,0,178,78.4,1,2,2266
21,0,165,87.7,2,2,2503
42,1,162,76.3,2,1,1965
19,0,152,60.5,3,2,2360
54,1,153,83.5,2,1,1921
33,1,174,85.8,1,1,1980
36,0,183,93.8,1,2,2401
60,0,189,88.5,3,1,2166
27,0,182,98.7,1,2,2489
46,0,153,67.9,2,1,1605
45,1,157,55.7,1,2,2013
27,1,151,75.8,2,2,2466
33,0,172,80.9,3,1,2119
33,0,189,85.2,2,1,2068
24,1,168,62.4,1,1,1754
44,0,190,84.6,1,2,2313
55,0,162,86.6,3,1,2003
27,0,173,71.6,3,1,2062
43,1,157,57.7,3,1,1943
32,0,174,84.7,3,2,2674
58,1,180,70.1,1,1,1736
56,1,158,73.2,3,1,2039
23,1,165,86.4,3,2,2880
41,1,172,78.7,2,1,2057
54,1,161,69.4,3,1,2030
53,1,158,57.7,1,1,1499
24,0,167,86.1,2,1,1984
37,0,152,67.7,3,2,2342
29,1,150,65.5,1,1,1647
19,0,177,92.9,2,1,2140
33,1,151,69.6,3,1,2074
25,0,181,98.8,3,2,2894
34,1,166,71.4,1,1,1781
58,1,168,75.7,2,2,2417
42,1,178,81.6,2,1,2118
41,0,189,78.0,2,1,1956
18,1,153,81.2,1,2,2378
33,1,158,65.5,2,1,1877
41,1,182,81.8,1,1,1950
23,0,159,56.7,2,2,2145
38,0,159,80.3,2,1,1806
26,0,153,66.6,1,1,1492
25,1,179,82.9,2,1,2222
30,1,187,99.9,2,1,2417
37,0,169,71.4,2,2,2285
31,1,184,81.5,2,2,2710
33,1,181,96.6,2,1,2332
35,1,151,77.6,3,1,2144
45,1,158,63.0,2,2,2292
46,0,159,78.9,1,1,1552
36,1,152,80.6,1,2,2276
49,0,168,86.6,3,1,2071
25,1,158,84.9,3,2,2811
49,0,166,74.4,1,2,2036
32,0,173,61.9,3,1,1940
59,0,183,80.1,3,1,2049
27,0,150,75.5,1,2,2057
53,0,175,62.6,3,1,1854
32,0,186,85.5,1,2,2357
57,1,152,61.4,2,2,2179
22,1,152,80.2,3,1,2242
25,1,156,79.0,3,1,2240
37,0,175,77.2,2,1,1880
42,1,178,69.4,3,1,2196
27,1,186,99.6,3,2,3123
48,0,187,69.4,2,2,2322
58,1,162,82.2,3,2,2644
36,1,184,86.3,2,2,2733
26,0,188,99.6,3,1,2441
46,1,161,60.1,1,2,2077
32,1,165,83.7,3,2,2808
24,1,182,95.1,2,1,2368
20,1,170,85.2,1,1,2014
21,1,181,65.2,1,1,1878
46,0,161,61.1,3,1,1787
58,0,165,77.4,2,2,2215
29,0,156,78.1,1,2,2111
47,1,163,75.9,3,1,2142
40,0,178,71.9,2,1,1831
43,1,168,85.8,2,2,2593
23,0,154,68.7,2,2,2234
45,1,154,63.7,2,2,2274
31,1,183,84.5,2,1,2233
46,1,188,76.3,2,1,2108
49,0,157,66.9,3,1,1805
31,0,188,91.4,1,2,2434
57,0,177,67.5,2,2,2196
41,0,179,79.9,2,1,1912
34,1,165,72.4,2,2,2485
25,0,189,89.7,1,2,2453
53,0,156,61.2,2,1,1522
44,0,160,60.9,3,2,2289
57,1,157,61.4,2,1,1710
18,1,186,85.7,1,2,2629
20,0,156,64.9,3,2,2424
29,0,156,82.0,1,2,2150
47,0,153,84.0,2,1,1761
55,1,162,57.5,1,2,2012
55,1,181,73.4,3,1,2190
48,0,170,81.2,3,1,2034
36,0,183,87.7,1,1,1840
23,1,156,57.6,2,2,2336
53,1,164,64.9,1,1,1609
21,1,175,80.8,1,2,2496
24,0,165,70.0,2,1,1811
22,0,182,94.0,1,2,2467
57,0,160,80.0,3,1,1915
59,0,153,53.6,2,2,1897
36,1,178,88.1,3,1,2413
59,0,176,71.0,1,2,2015
58,0,184,74.1,1,1,1601
24,1,174,63.7,2,1,2004
59,1,190,80.8,2,2,2600
29,1,151,79.0,2,1,1988
51,0,179,88.4,1,1,1747
42,0,158,82.1,1,1,1598
23,1,167,68.3,1,2,2311
28,1,167,85.9,2,2,2662
43,1,169,59.8,3,1,2039
28,1,157,57.5,3,1,2016
55,0,163,63.2,2,2,2075
35,0,177,66.9,3,1,2000
46,0,175,84.8,2,1,1911
18,1,179,73.1,2,2,2659
35,1,171,61.7,3,2,2610
60,0,166,74.3,3,2,2380
56,0,177,87.7,2,1,1903
26,0,152,74.9,3,1,1969
37,1,175,87.7,2,1,2185
44,0,160,66.9,3,2,2349
35,1,158,64.2,2,2,2354
23,0,174,95.4,1,2,2426
49,1,177,93.0,2,2,2691
53,1,152,77.0,1,1,1655
58,1,150,62.7,2,1,1674
35,1,157,86.1,3,2,2767
21,1,161,73.1,2,1,2032
45,1,170,80.9,2,2,2546
52,1,182,99.3,3,1,2470
27,1,151,75.5,2,1,1963
37,0,166,78.1,3,2,2533
31,1,152,80.9,2,2,2504
51,0,171,90.2,1,1,1715
24,0,175,77.6,3,2,2649
19,0,182,75.0,2,1,1992
22,0,190,78.4,3,2,2761
37,1,181,80.4,3,1,2350
36,0,162,56.9,1,1,1401
29,0,183,73.2,2,1,1930
44,1,182,69.2,1,1,1809
46,0,178,70.1,2,2,2283
22,0,173,63.1,3,2,2502
48,1,176,81.7,3,1,2277
19,0,166,70.5,3,2,2547
19,0,176,88.7,3,1,2292
42,1,171,67.7,2,2,2435
32,0,184,99.1,1,2,2481
33,0,188,94.8,1,1,1958
57,0,169,60.2,1,2,1873
39,0,168,90.1,3,2,2656
45,0,170,78.8,1,1,1625
35,1,155,74.0,1,2,2233
48,1,165,67.7,3,2,2568
28,0,185,72.5,1,2,2241
27,1,163,73.6,1,1,1819
18,0,159,72.1,3,1,2024
54,1,152,62.8,3,2,2408
55,1,152,63.9,2,1,1714
56,0,155,80.3,1,2,1991
53,1,174,76.5,1,2,2287
40,0,160,71.6,2,2,2216
35,0,186,90.1,1,1,1888
20,1,151,64.6,1,2,2189
33,0,178,67.7,1,2,2124
24,1,169,67.8,2,1,2014
20,0,187,74.2,1,2,2310
26,1,175,61.9,1,2,2282
27,1,153,80.2,2,2,2523
30,0,167,84.4,1,1,1737
31,1,150,68.1,3,2,2563
59,1,152,77.4,1,2,2129
38,1,165,71.4,3,2,2655
54,1,176,70.5,1,1,1735
50,1,153,62.3,1,1,1529
41,1,188,102.0,1,2,2690
41,0,171,72.8,3,2,2491
32,0,154,76.5,1,1,1567
40,0,174,67.4,2,1,1761
44,0,163,66.1,2,2,2159
28,0,187,97.9,3,1,2407
42,0,152,76.5,2,1,1705
60,1,173,88.3,3,2,2764
53,1,171,69.5,2,2,2398
55,0,180,98.3,2,1,2033
18,1,186,69.2,3,2,2864
22,0,166,67.0,1,1,1597
20,1,174,72.7,3,2,2814
26,1,155,82.9,1,2,2367
56,0,173,61.8,1,1,1419
55,1,170,91.9,3,2,2806
35,0,161,85.2,1,1,1683
59,1,167,71.2,2,2,2360
45,1,180,70.9,1,2,2309
51,1,187,89.9,2,1,2212
50,0,183,89.5,3,2,2688
60,0,174,95.3,1,2,2240
37,0,161,68.1,3,1,1902
57,1,174,85.4,3,1,2256
32,0,168,71.5,3,1,2005
27,0,174,65.3,1,1,1605
40,0,159,84.3,2,1,1836
38,0,160,62.0,1,1,1430
57,0,187,90.0,2,2,2483
39,0,181,82.1,3,2,2657
22,0,171,93.3,2,2,2591
21,0,159,63.6,1,2,2024
50,0,184,77.8,1,2,2178
49,0,166,79.6,1,2,2088
31,0,185,87.4,2,2,2575
41,1,180,81.5,1,2,2435
21,1,161,73.4,3,1,2235
26,0,181,72.3,1,2,2224
30,1,180,77.0,1,1,1945
48,0,186,85.6,1,2,2278
60,1,183,79.6,2,1,2039
53,1,188,88.9,2,1,2199
58,0,188,69.3,3,1,1978
47,1,179,88.5,2,1,2168
46,1,186,70.4,2,2,2536
30,1,178,80.3,1,2,2465
35,0,177,94.0,1,1,1871
60,1,173,94.8,1,1,1929
60,1,170,63.6,2,2,2298
33,0,156,74.8,2,2,2258
22,1,182,68.7,3,1,2314
48,1,169,82.2,1,2,2338
30,1,181,70.9,1,2,2390
29,1,183,76.0,2,2,2658
24,0,171,65.5,1,1,1603
29,1,169,82.1,1,2,2432
57,0,169,84.9,3,1,2020
53,0,175,70.8,1,2,2036
49,1,178,83.6,2,2,2603
47,0,183,66.6,1,1,1574
52,1,165,68.9,3,1,2060
20,0,168,81.3,2,2,2463
59,0,171,63.2,3,1,1805
53,1,170,83.8,1,1,1835
24,0,184,74.9,2,1,1979
57,0,176,78.6,3,2,2501
28,0,188,90.1,2,1,2136
25,0,156,80.6,3,1,2056
30,0,178,73.3,1,1,1695
38,1,175,86.6,1,2,2469
50,0,171,77.8,3,2,2496
32,0,178,83.9,3,1,2191
49,0,153,79.1,2,1,1702
22,0,150,53.7,3,1,1764
24,0,177,79.9,1,2,2285
59,0,160,63.4,1,1,1339
38,1,173,62.6,1,1,1717
30,1,189,79.4,1,2,2525
56,0,170,66.6,1,2,1948
38,0,151,70.1,2,1,1654
31,1,153,79.7,2,2,2498
36,0,182,69.7,3,1,2054
28,0,183,81.8,2,2,2521
52,1,175,94.7,1,2,2480
43,1,179,72.8,2,1,2031
31,0,186,73.2,1,2,2239
35,1,185,86.7,2,2,2748
45,1,190,84.0,2,2,2702
35,0,190,82.6,3,1,2238
27,0,182,80.2,3,2,2704
49,0,162,71.1,3,1,1878
42,0,174,91.0,2,2,2487
30,1,157,76.8,2,1,1999
26,1,175,92.1,2,2,2784
37,1,167,75.0,1,1,1808
38,0,170,84.8,1,1,1720
56,0,182,90.4,3,1,2161
58,1,179,64.0,1,2,2168
34,1,157,71.7,1,2,2228
55,1,172,91.0,2,2,2610
45,0,180,88.2,1,2,2282
49,1,186,92.6,3,1,2443
50,1,188,75.4,1,1,1879
46,0,186,83.3,1,1,1765
52,0,173,64.3,2,1,1664
56,1,180,63.7,3,2,2582
51,1,159,56.8,1,1,1506
